b/h,a/h,T_0,P_OWC
0.5,0.1,4,6166.015694
0.5,0.1,4.25,7425.068412
0.5,0.1,4.5,7204.635913
0.5,0.1,4.75,6980.917023
0.5,0.1,5,6212.720913
0.5,0.1,5.25,6355.42018
0.5,0.1,5.5,5715.099508
0.5,0.1,5.75,5052.795294
0.5,0.1,6,4779.228816
0.5,0.1,6.25,4631.57279
0.5,0.1,6.5,4391.51674
0.5,0.1,6.75,4056.852581
0.5,0.1,7,3718.3345
0.5,0.1,7.25,3432.513563
0.5,0.1,7.5,3207.527144
0.5,0.1,7.75,3029.259522
0.5,0.1,8,2879.852913
0.5,0.1,8.25,2745.199069
0.5,0.1,8.5,2616.684631
0.5,0.1,8.75,2490.494703
0.5,0.1,9,2366.063011
0.5,0.1,9.25,2244.502271
0.5,0.1,9.5,2127.424536
0.5,0.1,9.75,2016.25286
0.5,0.1,10,1911.934502
0.5,0.1,10.25,1814.907568
0.5,0.1,10.5,1725.189165
0.5,0.1,10.75,1642.499381
0.5,0.1,11,1566.376913
0.5,0.1,11.25,1496.269708
0.5,0.1,11.5,1431.598624
0.5,0.1,11.75,1371.798232
0.5,0.1,12,1316.340475
0.5,0.1,12.25,1264.746414
0.5,0.1,12.5,1216.590227
0.5,0.1,12.75,1171.498461
0.5,0.1,13,1129.146601
0.5,0.1,13.25,1089.25432
0.5,0.1,13.5,1051.580254
0.5,0.1,13.75,1015.916822
0.5,0.1,14,982.0853747
0.5,0.1,14.25,949.9318166
0.5,0.1,14.5,919.3227524
0.5,0.1,14.75,890.1421592
0.5,0.1,15,862.2885514
0.5,0.2,4,4976.1138
0.5,0.2,4.25,8174.056407
0.5,0.2,4.5,8513.473073
0.5,0.2,4.75,9903.79625
0.5,0.2,5,8591.328449
0.5,0.2,5.25,8578.738496
0.5,0.2,5.5,7673.384563
0.5,0.2,5.75,6545.339498
0.5,0.2,6,5967.864062
0.5,0.2,6.25,5635.889127
0.5,0.2,6.5,5243.98912
0.5,0.2,6.75,4764.3291
0.5,0.2,7,4298.337572
0.5,0.2,7.25,3910.889398
0.5,0.2,7.5,3608.378659
0.5,0.2,7.75,3370.919513
0.5,0.2,8,3175.117663
0.5,0.2,8.25,3002.80536
0.5,0.2,8.5,2842.735415
0.5,0.2,8.75,2689.500431
0.5,0.2,9,2541.599115
0.5,0.2,9.25,2399.575978
0.5,0.2,9.5,2264.655332
0.5,0.2,9.75,2137.95163
0.5,0.2,10,2020.137598
0.5,0.2,10.25,1911.3966
0.5,0.2,10.5,1811.50981
0.5,0.2,10.75,1719.982878
0.5,0.2,11,1636.163767
0.5,0.2,11.25,1559.333944
0.5,0.2,11.5,1488.771087
0.5,0.2,11.75,1423.78793
0.5,0.2,12,1363.753467
0.5,0.2,12.25,1308.102141
